   0:| 112 | 116 | 128 | 119 |  93 |  79 |  79 |  89 |  79 | 109 |  79 |  79 | 132 | 124 |  57 |  58 |  59 |  60 |  62 |  63 | 137 | 139 | 138 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 57:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 58:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 59:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
  60:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |  61 | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 61:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 62:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 63:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 68:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 70:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 72:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
# 74:| -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   | -   |
#116:|  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | 117 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#117:|  79 |  79 | 118 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#118:|  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#119:|  79 |  79 |  79 |  79 | 120 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#120:|  79 |  79 |  79 |  79 |  79 | 121 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#121:|  79 |  79 |  79 |  79 |  79 |  79 | 122 |  79 |  79 |  79 |  79 | 123 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#122:|  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#123:|  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#124:|  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | 125 |  79 |  79 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
#125:|  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | 126 |  79 |  79 |  79 | -   | -   | -   | -   | -   | -   | -   | -   | -   |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 |  79 | -   |
